#CurrentValue,#time
0.000000,23349
135.000000,28135
135.000000,29265
135.000000,30440
135.000000,31413
135.000000,32258
135.000000,33266
135.000000,34177
135.000000,35130
135.000000,36026
135.000000,36872
135.000000,37840
135.000000,38872
135.000000,39907
135.000000,40683
135.000000,41678
135.000000,42474
135.000000,43184
135.000000,43833
135.931966,44602
136.369535,45330
146.881538,46058
160.743817,46773
-167.491825,47957
-127.520861,48857
-98.723254,49656
-78.377903,50418
-70.310179,51062
-66.003656,51792
-63.271792,52619
-61.303857,53258
-59.702294,53950
-58.236952,54666
-56.791534,55255
-55.320134,55783
-53.789236,56390
-52.199547,57138
-50.596026,57882
-49.011802,58494
-47.474995,59012
-46.006378,59684
-44.619635,60279
-43.322442,60799
-42.116019,61344
-40.997866,62046
-39.962733,62740
-39.003802,63523
-38.112872,64387
-37.281420,65045
-36.500989,65768
-35.762939,66447
-35.059535,67022
-34.383562,67544
-33.728615,68138
-33.071035,68696
-32.420135,69243
-31.780658,69849
-31.149662,70420
-30.524515,70916
-29.903207,71486
-29.284494,72018
-28.667766,72543
-28.053002,73160
-27.440775,73831
-26.832082,74555
-26.228408,75410
-25.631408,76202
-25.042935,77118
-24.464810,78098
-23.898770,79133
-23.346280,79918
-22.808698,80628
-22.286733,81664
-21.780867,82776
-21.291556,83343
-20.819036,83941
-20.362732,84498
-19.922041,85018
-19.496162,85593
-19.084057,86133
-18.684595,86666
-18.296458,87257
-17.918301,87870
-17.548704,88409
-17.186245,89024
-16.829490,89692
-16.477075,90229
-16.127653,90897
-15.780097,91790
-15.433425,92627
-15.086870,93485
-14.739757,94252
-14.391565,95076
-14.041977,95768
-13.690861,96468
-13.338160,97252
-12.984096,98064
-12.629106,98834
-12.273660,99514
-11.918330,100144
-11.563812,100911
-11.210747,101516
-10.859968,102096
-10.512155,102845
-10.168001,103585
-9.828233,104251
-9.493409,105046
-9.164074,105787
-8.840536,106538
-8.523229,107273
-8.212313,107943
-7.907779,108622
-7.609657,109290
-7.317860,110005
-7.032157,110707
-6.752382,111441
-6.478292,112088
-6.209399,112669
-5.945640,113353
-5.686375,114090
-5.431412,114785
-5.180319,115525
-4.932845,116249
-4.688763,116969
-4.447657,117911
-4.209428,118751
-3.973896,119387
-3.740835,120111
-3.510117,120780
-3.281575,121378
-3.055117,121969
-2.830753,122721
-2.608270,123405
-2.387779,124037
-2.169433,124800
-1.953144,125416
-1.738888,125962
-1.527134,126552
-1.317450,127196
-1.109946,127731
-0.905254,128396
-0.702486,129113
-0.503189,129799
-0.306467,130675
-0.110143,131777
0.081565,132535
0.270520,133580
0.456283,134403
0.639190,135105
0.820199,135820
0.997992,136547
1.173365,137215
1.346393,137904
1.516590,138590
1.684582,139329
1.849703,140108
2.012853,140930
2.173308,141637
2.331625,142544
2.487348,143474
2.640861,144277
2.791970,145014
2.940447,145697
3.086862,146379
3.230952,147108
3.372607,147816
3.512292,148642
3.649426,149255
3.784445,150107
3.917267,150967
4.047818,151745
4.176170,152382
4.302476,153227
4.426468,153861
4.548422,154538
4.668205,155197
4.785937,155939
4.901649,156989
5.015478,158024
5.127399,158850
5.237458,159576
5.345698,160222
5.451975,160889
5.556402,161617
5.659012,162321
5.759834,163038
5.858760,163719
5.955950,164358
6.051391,165040
6.144971,165703
6.236840,166380
6.327038,167157
6.415577,167843
6.502372,168556
6.587522,169344
6.671004,170060
6.752847,170746
6.832998,171476
6.911485,172122
6.988394,172837
7.063609,173613
7.137266,174385
7.209358,175102
7.279823,175772
7.348762,176410
7.416138,177235
7.482098,178260
7.546574,178887
7.609554,179541
7.671124,180195
7.731165,180843
7.789866,181568
7.847129,182344
7.903061,183114
7.957764,183888
8.011090,184659
8.063191,185308
8.114039,185882
8.163563,186535
8.211883,187145
8.258874,187744
8.304680,188416
8.349226,189337
8.392694,190176
8.434939,191700
8.476233,193632
8.516522,195880
8.555979,198690
8.594640,200462
8.632355,202103
8.669160,203655
8.704998,205107
8.739972,207252
8.774180,209152
8.807654,209803
8.840246,210463
8.871968,211189
8.902893,211970
8.933074,212687
8.962540,213309
8.991255,214094
9.019292,214779
9.046633,215385
9.073288,216149
9.099216,217043
9.124491,217786
9.148987,218442
9.172668,219082
9.195627,219657
9.217677,220269
9.238844,220851
9.259179,221434
9.278600,221929
9.297009,222520
9.314581,223562
9.331214,224134
9.346787,224813
9.361453,225355
9.375111,225864
9.387807,226425
9.399441,226972
9.410120,227464
9.419786,228056
9.428504,228827
9.436256,229439
9.443086,230012
9.448996,230721
9.454008,231482
9.458186,232119
9.461469,232787
9.463961,233399
9.465602,233995
9.466495,234605
9.466620,235213
9.465997,235784
9.464689,236792
9.462757,239678
9.460388,240592
9.457396,241745
9.453779,242733
9.449557,243427
9.444855,244103
9.439547,244735
9.433757,245430
9.427483,246193
9.420830,246804
9.413691,247326
9.406192,247945
9.398207,248525
9.389859,249027
9.381063,249683
9.371819,250257
9.362083,250780
9.351938,251342
9.341340,252027
9.330160,252743
9.318547,253510
9.306391,254216
9.293648,254913
9.280464,255721
9.266711,256660
9.252406,257614
9.237525,258738
9.222174,260178
9.206263,261959
9.189898,263290
9.172990,264515
9.155578,265792
9.137682,267034
9.119364,268688
9.100641,270844
9.081622,272991
9.062302,274630
9.042615,276286
9.022711,278417
9.002568,280252
8.982291,282016
8.961817,284516
8.941296,285405
8.920661,285908
8.899913,286537
8.879206,287178
8.858450,287780
8.837735,288486
8.817084,289232
8.796450,289899
8.775814,290659
8.755084,291931
8.734373,293921
8.713569,295995
8.692602,297133
8.671403,298160
8.649971,298923
8.628236,300189
8.606355,301223
8.584144,302051
8.561739,302905
8.539045,304460
8.516153,305649
8.492945,306990
8.469488,308417
8.445805,309584
8.421797,310431
8.397443,311677
8.372923,313131
8.348073,314563
8.322985,315633
8.297655,316347
8.272059,316925
8.246241,317579
8.220246,318203
8.194051,318782
8.167723,319494
8.141166,320205
8.114523,320922
8.087672,321656
8.060659,322482
8.033457,323190
8.006115,323857
7.978482,324863
7.950755,326028
7.922733,326946
7.894562,327750
7.866141,328547
7.837593,329270
7.808740,330696
7.779831,332425
7.750689,334585
7.721385,336702
7.691972,338713
7.662369,340124
7.632601,341488
7.602690,343095
